Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,43.0
2017 Q2,46.0
2017 Q3,50.0
2017 Q4,36.0
2018 Q1,41.0
2018 Q2,37.0
2018 Q3,47.0
2018 Q4,39.0
2019 Q1,39.0
2019 Q2,44.0
2019 Q3,44.0
2019 Q4,55.0
2020 Q1,43.0
2020 Q2,38.0
2020 Q3,45.0
2020 Q4,39.0
2021 Q1,50.0
2021 Q2,49.0
2021 Q3,36.0
2021 Q4,45.0
2022 Q1,48.0
2022 Q2,43.0
2022 Q3,45.0
2022 Q4,30.0
2023 Q1,43.0
