Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,5.0
2017 Q2,6.0
2017 Q3,12.0
2017 Q4,1.0
2018 Q1,10.0
2018 Q2,10.0
2018 Q3,4.0
2018 Q4,13.0
2019 Q1,21.0
2019 Q2,14.0
2019 Q3,11.0
2019 Q4,12.0
2020 Q1,9.0
2020 Q2,14.0
2020 Q3,8.0
2020 Q4,16.0
2021 Q1,14.0
2021 Q2,3.0
2021 Q3,12.0
2021 Q4,11.0
2022 Q1,7.0
2022 Q2,12.0
2022 Q3,14.0
2022 Q4,11.0
2023 Q1,13.0
