Filing Quarter,Number of violent cases filed per quarter
2017 Q1,66
2017 Q2,81
2017 Q3,88
2017 Q4,63
2018 Q1,81
2018 Q2,80
2018 Q3,84
2018 Q4,64
2019 Q1,57
2019 Q2,93
2019 Q3,81
2019 Q4,79
2020 Q1,63
2020 Q2,71
2020 Q3,86
2020 Q4,79
2021 Q1,102
2021 Q2,87
2021 Q3,77
2021 Q4,61
2022 Q1,69
2022 Q2,100
2022 Q3,80
2022 Q4,95
2023 Q1,79
2023 Q2,68
2023 Q3,91
2023 Q4,100
2024 Q1,72
2024 Q2,102
2024 Q3,77
