Disposition Quarter,Successful ,Not Successful,Total Cases
2017 Q1,77.0,6.0,83.0
2017 Q2,85.0,7.0,92.0
2017 Q3,66.0,8.0,74.0
2017 Q4,54.0,3.0,57.0
2018 Q1,69.0,8.0,77.0
2018 Q2,78.0,17.0,95.0
2018 Q3,67.0,13.0,80.0
2018 Q4,57.0,10.0,67.0
2019 Q1,57.0,14.0,71.0
2019 Q2,68.0,13.0,81.0
2019 Q3,67.0,10.0,77.0
2019 Q4,60.0,14.0,74.0
2020 Q1,60.0,11.0,71.0
2020 Q2,41.0,4.0,45.0
