Disposition Quarter,Deferred
2017 Q1,83
2017 Q2,92
2017 Q3,74
2017 Q4,57
2018 Q1,77
2018 Q2,95
2018 Q3,80
2018 Q4,67
2019 Q1,71
2019 Q2,81
2019 Q3,78
2019 Q4,74
2020 Q1,71
2020 Q2,45
2020 Q3,71
2020 Q4,58
2021 Q1,69
2021 Q2,85
2021 Q3,81
2021 Q4,77
2022 Q1,64
2022 Q2,65
2022 Q3,55
