Disposition Quarter,Deferred
2017 Q1,84
2017 Q2,91
2017 Q3,75
2017 Q4,62
2018 Q1,76
2018 Q2,91
2018 Q3,82
2018 Q4,70
2019 Q1,70
2019 Q2,84
2019 Q3,79
2019 Q4,83
2020 Q1,71
2020 Q2,43
2020 Q3,69
2020 Q4,59
2021 Q1,69
2021 Q2,89
2021 Q3,89
2021 Q4,82
2022 Q1,64
2022 Q2,66
2022 Q3,65
2022 Q4,66
2023 Q1,82
2023 Q2,63
2023 Q3,53
2023 Q4,57
