Diversion Year,Adult,Juvenile,Total
2014.0,0.0,46.0,46.0
2015.0,0.0,140.0,140.0
2016.0,6.0,131.0,137.0
2017.0,115.0,191.0,306.0
2018.0,274.0,298.0,572.0
2019.0,331.0,319.0,650.0
2020.0,282.0,216.0,498.0
2021.0,237.0,107.0,344.0
2022.0,137.0,97.0,234.0
