Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,68.0,9.0,77.0,11.68831169
2017 Q2,76.0,9.0,85.0,10.58823529
2017 Q3,56.0,10.0,66.0,15.15151515
2017 Q4,48.0,6.0,54.0,11.11111111
2018 Q1,59.0,10.0,69.0,14.49275362
2018 Q2,73.0,5.0,78.0,6.41025641
