Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,527.0,916.0,40.0
2017 Q2,562.0,1047.0,53.0
2017 Q3,577.0,919.0,55.0
2017 Q4,415.0,728.0,38.0
2018 Q1,640.0,971.0,48.0
2018 Q2,634.0,1203.0,56.0
2018 Q3,652.0,1164.0,57.0
2018 Q4,566.0,1274.0,61.0
2019 Q1,561.0,1660.0,141.0
2019 Q2,560.0,1581.0,158.0
2019 Q3,624.0,1617.0,170.0
2019 Q4,573.0,1261.0,127.0
2020 Q1,381.0,1123.0,181.0
2020 Q2,399.0,1265.0,114.0
2020 Q3,480.0,1356.0,105.0
2020 Q4,548.0,1460.0,103.0
2021 Q1,488.0,1326.0,79.0
2021 Q2,442.0,1407.0,105.0
2021 Q3,487.0,1488.0,106.0
2021 Q4,506.0,1351.0,81.0
2022 Q1,383.0,1417.0,132.0
2022 Q2,483.0,1440.0,190.0
2022 Q3,503.0,1490.0,174.0
2022 Q4,443.0,1436.0,169.0
2023 Q1,474.0,1416.0,169.0
