Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,19.9444,19.4667
2017 Q2,17.2632,20
2017 Q3,22.5333,19.4667
2017 Q4,17.4762,23
2018 Q1,15.7273,23.5
2018 Q2,17,19.5556
2018 Q3,14.381,16.4211
2018 Q4,19.1,18.3889
2019 Q1,16.8421,18.4118
2019 Q2,16.7368,17.6842
2019 Q3,16.76,15.619
2019 Q4,16.7273,14.5
2020 Q1,16.8636,15.0952
2020 Q2,15.0625,9.8
2020 Q3,16.4737,13.1111
2020 Q4,17.2353,13
2021 Q1,16.3125,14.1053
2021 Q2,18,15.5238
2021 Q3,19.625,18.1111
2021 Q4,17.5882,19.5714
2022 Q1,22.0667,17.9333
2022 Q2,23.3333,24
2022 Q3,15.7333,19.0769
2022 Q4,19.9333,18.5385
2023 Q1,19.4615,20.1333
2023 Q2,26.9333,18.9333
2023 Q3,22.8667,17.2667
2023 Q4,25.7333,20.6923
2024 Q1,21.3333,24.25
2024 Q2,19.3333,23.0769
2024 Q3,19.3158,19.2857
2024 Q4,21.7059,11.9167
2025 Q1,21.5333,13.5
2025 Q2,20,14.25
