Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,81.9697,70.9615
2017 Q2,79.3125,76.2593
2017 Q3,72.2581,68.4286
2017 Q4,73.1034,80.1923
2018 Q1,68.9167,98.4348
2018 Q2,72.2188,74.9286
2018 Q3,69.7813,75.4
2018 Q4,61.3514,84.76
2019 Q1,70.3939,89.5
2019 Q2,72.0882,70.4063
2019 Q3,66.8857,75.4074
2019 Q4,60.1795,86.88
2020 Q1,61.8158,59.8667
2020 Q2,52.5143,45.0588
2020 Q3,56.4211,83.2273
2020 Q4,65.6176,78.9545
2021 Q1,58.6667,62.2308
2021 Q2,57.9474,63.4483
2021 Q3,61.0833,74.44
2021 Q4,60.4595,74.4
2022 Q1,62.9459,87.68
2022 Q2,52.2432,69.6
2022 Q3,67.6667,78.5833
2022 Q4,63.0625,76.4348
2023 Q1,64.1765,69.6296
2023 Q2,74.3333,70.9355
2023 Q3,88.2963,74.8519
2023 Q4,107.76,96
2024 Q1,97.6667,109.1053
2024 Q2,128.0952,124.1667
2024 Q3,119.5455,122.8235
2024 Q4,142.3636,69.1579
2025 Q1,160.5333,96.7333
2025 Q2,207.9091,113.5714
