Filing Quarter,Number of violent cases filed per quarter
2017 Q1,181
2017 Q2,160
2017 Q3,189
2017 Q4,160
2018 Q1,201
2018 Q2,194
2018 Q3,217
2018 Q4,197
2019 Q1,193
2019 Q2,195
2019 Q3,202
2019 Q4,155
2020 Q1,202
2020 Q2,224
2020 Q3,206
2020 Q4,159
2021 Q1,176
2021 Q2,184
2021 Q3,164
2021 Q4,188
2022 Q1,201
2022 Q2,177
2022 Q3,182
2022 Q4,194
2023 Q1,153
2023 Q2,144
2023 Q3,171
2023 Q4,178
2024 Q1,170
2024 Q2,161
2024 Q3,205
2024 Q4,179
2025 Q1,156
