,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,5092,2007,3192,513,333,191,33,470
Change since 2024,37.43589744,4.694835681,-14.81184948,-9.363957597,-3.757225434,-14.34977578,-19.51219512,-8.023483366
