Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,35,158,193,18.13471503,295,990,1285,22.95719844
2017 Q2,42,137,179,23.46368715,284,946,1230,23.08943089
2017 Q3,57,127,184,30.97826087,298,934,1232,24.18831169
2017 Q4,47,126,173,27.16763006,312,973,1285,24.28015564
2018 Q1,47,132,179,26.25698324,295,984,1279,23.06489445
2018 Q2,43,141,184,23.36956522,299,988,1287,23.23232323
2018 Q3,51,125,176,28.97727273,273,889,1162,23.4939759
2018 Q4,36,130,166,21.68674699,299,922,1221,24.48812449
2019 Q1,43,141,184,23.36956522,286,945,1231,23.23314379
2019 Q2,36,146,182,19.78021978,279,978,1257,22.19570406
2019 Q3,31,130,161,19.25465839,264,929,1193,22.12908634
2019 Q4,34,148,182,18.68131868,269,903,1172,22.95221843
2020 Q1,34,115,149,22.81879195,204,889,1093,18.6642269
2020 Q2,22,64,86,25.58139535,46,262,308,14.93506494
2020 Q3,23,117,140,16.42857143,139,701,840,16.54761905
2020 Q4,20,104,124,16.12903226,147,721,868,16.93548387
2021 Q1,32,99,131,24.42748092,127,732,859,14.78463329
2021 Q2,21,107,128,16.40625,138,730,868,15.89861751
2021 Q3,25,127,152,16.44736842,211,909,1120,18.83928571
2021 Q4,27,113,140,19.28571429,193,881,1074,17.97020484
2022 Q1,27,139,166,16.26506024,184,941,1125,16.35555556
2022 Q2,26,146,172,15.11627907,244,1037,1281,19.04761905
2022 Q3,36,125,161,22.36024845,229,890,1119,20.46470063
2022 Q4,40,153,193,20.7253886,212,866,1078,19.66604824
2023 Q1,38,182,220,17.27272727,246,890,1136,21.65492958
2023 Q2,43,177,220,19.54545455,246,870,1116,22.04301075
2023 Q3,26,152,178,14.60674157,240,815,1055,22.74881517
2023 Q4,38,140,178,21.34831461,222,830,1052,21.1026616
2024 Q1,40,143,183,21.8579235,224,888,1112,20.14388489
2024 Q2,44,164,208,21.15384615,244,833,1077,22.65552461
2025 Q3,47,174,221,21.26696833,243,844,1087,22.3551058
2025 Q4,27,108,135,20,154,535,689,22.35123367
