Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,23,683,143,14,336,26,641
2020,21,474,74,11,199,24,411
2021,24,518,81,7,276,18,498
2022,27,660,61,16,238,26,610
2023,25,766,81,7,262,26,617
2024,47,756,128,16,219,31,501
2025,24,295,72,7,95,8,227
