Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,31.0,162.0,193.0,16.06217617,286.0,998.0,1284.0,22.2741433
2017 Q2,43.0,137.0,180.0,23.88888889,280.0,950.0,1230.0,22.76422764
2017 Q3,53.0,130.0,183.0,28.96174863,291.0,940.0,1231.0,23.63931763
2017 Q4,47.0,126.0,173.0,27.16763006,302.0,979.0,1281.0,23.57533177
2018 Q1,43.0,135.0,178.0,24.15730337,278.0,999.0,1277.0,21.76977291
2018 Q2,44.0,140.0,184.0,23.91304348,287.0,993.0,1280.0,22.421875
2018 Q3,45.0,131.0,176.0,25.56818182,263.0,894.0,1157.0,22.73120138
2018 Q4,38.0,126.0,164.0,23.17073171,288.0,930.0,1218.0,23.6453202
2019 Q1,40.0,144.0,184.0,21.73913043,276.0,950.0,1226.0,22.51223491
2019 Q2,32.0,151.0,183.0,17.4863388,268.0,980.0,1248.0,21.47435897
2019 Q3,33.0,129.0,162.0,20.37037037,251.0,933.0,1184.0,21.19932432
2019 Q4,34.0,147.0,181.0,18.78453039,254.0,915.0,1169.0,21.72797263
2020 Q1,33.0,117.0,150.0,22.0,190.0,896.0,1086.0,17.49539595
2020 Q2,21.0,67.0,88.0,23.86363636,40.0,266.0,306.0,13.07189542
2020 Q3,20.0,119.0,139.0,14.38848921,125.0,712.0,837.0,14.93428913
2020 Q4,18.0,107.0,125.0,14.4,140.0,728.0,868.0,16.12903226
2021 Q1,31.0,93.0,124.0,25.0,119.0,735.0,854.0,13.93442623
2021 Q2,19.0,107.0,126.0,15.07936508,130.0,725.0,855.0,15.20467836
2021 Q3,23.0,130.0,153.0,15.03267974,193.0,919.0,1112.0,17.35611511
2021 Q4,24.0,116.0,140.0,17.14285714,186.0,876.0,1062.0,17.51412429
2022 Q1,23.0,134.0,157.0,14.64968153,180.0,925.0,1105.0,16.28959276
