Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,10.0
2017 Q2,15.0
2017 Q3,19.0
2017 Q4,9.0
2018 Q1,11.0
2018 Q2,16.0
2018 Q3,17.0
2018 Q4,18.0
2019 Q1,17.0
2019 Q2,8.0
2019 Q3,10.0
2019 Q4,17.0
2020 Q1,6.0
2020 Q2,12.0
2020 Q3,8.0
2020 Q4,24.0
2021 Q1,9.0
2021 Q2,11.0
2021 Q3,8.0
2021 Q4,15.0
2022 Q1,15.0
2022 Q2,13.0
2022 Q3,14.0
2022 Q4,25.0
2023 Q1,13.0
