Disposition Quarter,Conviction,No Conviction,Total
2017 Q1,7,3,10
2017 Q2,9,3,12
2017 Q3,6,3,9
2017 Q4,11,5,16
2018 Q1,12,2,14
2018 Q2,17,4,21
2018 Q3,8,7,15
2018 Q4,12,5,17
2019 Q1,8,8,16
2019 Q2,11,7,18
2019 Q3,16,11,27
2019 Q4,15,9,24
2020 Q1,10,6,16
2020 Q2,4,4,8
2020 Q3,14,1,15
2020 Q4,15,6,21
2021 Q1,10,3,13
2021 Q2,10,4,14
2021 Q3,10,2,12
2021 Q4,12,4,16
2022 Q1,8,7,15
2022 Q2,8,3,11
2022 Q3,4,5,9
2022 Q4,10,5,15
2023 Q1,10,6,16
2023 Q2,15,8,23
2023 Q3,17,5,22
2023 Q4,4,3,7
2024 Q1,12,4,16
