Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,14
2017 Q2,18
2017 Q3,23
2017 Q4,12
2018 Q1,14
2018 Q2,18
2018 Q3,21
2018 Q4,22
2019 Q1,22
2019 Q2,8
2019 Q3,17
2019 Q4,21
2020 Q1,9
2020 Q2,18
2020 Q3,11
2020 Q4,30
2021 Q1,12
2021 Q2,18
2021 Q3,12
2021 Q4,19
2022 Q1,21
2022 Q2,19
2022 Q3,20
2022 Q4,33
2023 Q1,22
2023 Q2,22
2023 Q3,24
2023 Q4,20
2024 Q1,14
2024 Q2,23
2024 Q3,19
2024 Q4,16
