Filing year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,5843,261,880,38,24,159,15
2018,6148,264,988,48,13,179,25
2019,5924,252,998,46,21,251,57
2020,5670,280,980,27,14,144,30
2021,6618,264,1174,60,27,192,41
2022,6852,303,1242,42,17,110,21
2023,6679,293,1084,39,33,142,5
