Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,39,2,41,4.87804878
2017 Q2,44,3,47,6.382978723
2017 Q3,25,1,26,3.846153846
2017 Q4,25,0,25,0
2018 Q1,21,0,21,0
2018 Q2,32,1,33,3.03030303
