Disposition Quarter,Successful ,Not Successful,Total Cases
2017 Q1,41.0,7.0,48.0
2017 Q2,47.0,9.0,56.0
2017 Q3,26.0,7.0,33.0
2017 Q4,25.0,7.0,32.0
2018 Q1,21.0,11.0,32.0
2018 Q2,33.0,4.0,37.0
2018 Q3,29.0,5.0,34.0
2018 Q4,36.0,4.0,40.0
2019 Q1,30.0,8.0,38.0
2019 Q2,31.0,11.0,42.0
2019 Q3,28.0,6.0,34.0
2019 Q4,21.0,5.0,26.0
2020 Q1,26.0,5.0,31.0
2020 Q2,30.0,6.0,36.0
