Disposition Quarter,Deffered
2017 Q1,49
2017 Q2,57
2017 Q3,32
2017 Q4,32
2018 Q1,31
2018 Q2,37
2018 Q3,35
2018 Q4,44
2019 Q1,38
2019 Q2,41
2019 Q3,34
2019 Q4,25
2020 Q1,33
2020 Q2,34
2020 Q3,29
2020 Q4,28
2021 Q1,38
2021 Q2,40
2021 Q3,27
2021 Q4,36
2022 Q1,37
2022 Q2,41
2022 Q3,49
2022 Q4,52
2023 Q1,44
2023 Q2,45
2023 Q3,33
2023 Q4,38
2024 Q1,32
2024 Q2,51
2024 Q3,28
2024 Q4,24
2025 Q1,20
2025 Q2,25
