Disposition Quarter,Deffered
2017 Q1,49
2017 Q2,56
2017 Q3,33
2017 Q4,32
2018 Q1,32
2018 Q2,37
2018 Q3,34
2018 Q4,41
2019 Q1,38
2019 Q2,42
2019 Q3,34
2019 Q4,26
2020 Q1,31
2020 Q2,36
2020 Q3,33
2020 Q4,29
2021 Q1,34
2021 Q2,42
2021 Q3,28
2021 Q4,36
2022 Q1,34
2022 Q2,40
2022 Q3,48
