Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,39.0,2.0,41.0,4.87804878
2017 Q2,44.0,3.0,47.0,6.382978723
2017 Q3,25.0,1.0,26.0,3.846153846
2017 Q4,25.0,0.0,25.0,0.0
2018 Q1,21.0,0.0,21.0,0.0
2018 Q2,32.0,1.0,33.0,3.03030303
