Filing Quarter,Misdemeanors filed per prosecutor,Misdemeanors resolved per prosecutor
2017 Q1,51.3284,59.9388
2017 Q2,51.3692,62.0408
2017 Q3,50.2059,70.2381
2017 Q4,53.873,62.4286
2018 Q1,53.623,69.7826
2018 Q2,56.45,68.1136
2018 Q3,56.1129,63.1304
2018 Q4,58.9508,58.9623
2019 Q1,68.2241,61.9636
2019 Q2,64.3158,62.7647
2019 Q3,68.4528,63.82
2019 Q4,71.8846,65.617
2020 Q1,68.1176,55.6471
2020 Q2,46.5957,18.24
2020 Q3,62.2917,39.5455
2020 Q4,62.8182,48.7273
2021 Q1,64.881,49.75
2021 Q2,94.4722,61.4286
2021 Q3,84.0811,78.375
2021 Q4,78.1538,78.5526
2022 Q1,84.6875,87.9412
2022 Q2,86.0625,99.75
2022 Q3,102.5357,94.6452
2022 Q4,121.7727,109.52
