,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2024,4031,392,1168,243,230,61,16,246
Change since 2023,8.623012665,14.28571429,3.180212014,-0.816326531,-3.765690377,-34.40860215,60,-13.98601399
