Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,20,63,19,44,52,1,20,2,221,21.26696833,28.50678733,50.22624434
2017 Q2,10,80,19,43,48,5,20,1,226,21.68141593,35.39823009,42.92035398
2017 Q3,10,46,18,63,62,4,19,1,223,30.49327354,20.62780269,48.87892377
2017 Q4,22,54,22,64,57,4,18,4,245,29.3877551,22.04081633,48.57142857
2018 Q1,17,38,36,58,56,3,26,2,236,26.69491525,16.10169492,57.20338983
2018 Q2,22,59,33,49,83,5,27,7,285,21.40350877,20.70175439,57.89473684
2018 Q3,16,52,24,37,41,5,26,1,202,21.28712871,25.74257426,52.97029703
2018 Q4,15,53,31,67,51,3,20,1,241,29.46058091,21.99170124,48.54771784
2019 Q1,23,57,40,73,74,1,23,2,293,25.93856655,19.45392491,54.60750853
2019 Q2,22,60,23,40,63,7,26,1,242,19.83471074,24.79338843,55.37190083
2019 Q3,35,48,24,42,51,4,20,0,224,20.53571429,21.42857143,58.03571429
2019 Q4,21,64,26,36,59,3,7,4,220,19.54545455,29.09090909,51.36363636
2020 Q1,24,51,29,43,47,2,23,2,221,21.26696833,23.07692308,55.6561086
2020 Q2,3,18,4,11,20,1,1,1,59,22.03389831,30.50847458,47.45762712
2020 Q3,9,28,18,36,44,3,7,1,146,27.39726027,19.17808219,53.42465753
2020 Q4,5,46,12,20,26,2,4,3,118,21.18644068,38.98305085,39.83050847
2021 Q1,10,26,23,24,34,0,5,4,126,22.22222222,20.63492063,57.14285714
2021 Q2,11,38,20,24,32,2,3,4,134,22.3880597,28.35820896,49.25373134
2021 Q3,14,46,20,34,62,5,11,6,198,22.72727273,23.23232323,54.04040404
2021 Q4,13,53,10,19,53,2,10,3,163,14.72392638,32.51533742,52.7607362
2022 Q1,16,53,21,32,66,5,17,4,214,19.1588785,24.76635514,56.07476636
2022 Q2,29,48,27,29,85,3,9,4,234,15.38461538,20.51282051,64.1025641
2022 Q3,26,49,24,33,69,1,8,5,215,18.13953488,22.79069767,59.06976744
2022 Q4,17,39,16,28,66,5,13,5,189,20.10582011,20.63492063,59.25925926
2023 Q1,24,57,25,36,91,3,4,3,243,17.28395062,23.45679012,59.25925926
2023 Q2,24,48,23,32,90,7,5,5,234,18.8034188,20.51282051,60.68376068
2023 Q3,30,48,21,22,65,5,3,3,197,15.2284264,24.36548223,60.40609137
2023 Q4,24,41,22,18,73,5,3,3,189,13.75661376,21.69312169,64.55026455
2024 Q1,38,56,22,27,67,4,7,7,228,16.66666667,24.56140351,58.77192982
2024 Q2,33,51,23,34,74,4,7,8,234,19.65811966,21.79487179,58.54700855
2024 Q3,13,46,12,27,53,2,7,2,162,19.13580247,28.39506173,52.4691358
2024 Q4,6,31,9,17,24,1,5,3,96,21.875,32.29166667,45.83333333
2025 Q1,5,51,15,20,40,3,7,5,146,19.17808219,34.93150685,45.89041096
2025 Q2,8,33,14,20,52,1,8,3,139,17.26618705,23.74100719,58.99280576
