Disposition Year,Time Served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,4,268,89,18,60,7,178
2020,4,165,51,16,49,10,118
2021,2,215,43,2,65,5,188
2022,2,152,56,4,92,4,255
2023,0,198,46,13,92,7,284
2024,3,167,41,8,61,8,246
2025,2,47,17,8,10,1,69
