Disposition Year,Fine/Comm. Service,Time Served,Probation,Probation plus Jail,Jail,Youth Corrections
2019,1418,201,1186,302,318,4
2020,880,137,886,169,132,3
2021,857,204,1114,181,139,4
2022,804,339,1024,195,246,1
2023,1010,290,920,199,222,3
2024,1334,300,981,202,216,8
2025,466,198,440,120,108,0
