Filing Quarter,Number of violent cases filed per quarter
2017 Q1,48
2017 Q2,47
2017 Q3,39
2017 Q4,59
2018 Q1,60
2018 Q2,46
2018 Q3,39
2018 Q4,42
2019 Q1,48
2019 Q2,45
2019 Q3,59
2019 Q4,53
2020 Q1,44
2020 Q2,38
2020 Q3,53
2020 Q4,67
2021 Q1,36
2021 Q2,41
2021 Q3,58
2021 Q4,61
2022 Q1,64
2022 Q2,45
2022 Q3,44
2022 Q4,32
2023 Q1,50
2023 Q2,54
2023 Q3,54
2023 Q4,66
2024 Q1,68
2024 Q2,52
2024 Q3,66
2024 Q4,77
2025 Q1,49
