Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,1550,9937,691
2018,1539,9627,721
2019,1519,9929,679
2020,1386,8981,564
2021,1234,9049,573
2022,1266,8494,713
2023,1428,9604,778
2024,1491,10592,825
