Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,802.0,18.0,1.0,821.0,2.192448234,149.0,331.0,480.0,31.04166667
2017 Q2,686.0,13.0,1.0,700.0,1.857142857,159.0,389.0,548.0,29.01459854
2017 Q3,800.0,15.0,1.0,816.0,1.838235294,157.0,379.0,536.0,29.29104478
2017 Q4,739.0,8.0,0.0,747.0,1.070950469,147.0,416.0,563.0,26.11012433
2018 Q1,780.0,20.0,1.0,801.0,2.496878901,136.0,377.0,513.0,26.51072125
2018 Q2,765.0,25.0,1.0,791.0,3.160556258,141.0,482.0,623.0,22.63242376
2018 Q3,797.0,24.0,5.0,826.0,2.905569007,135.0,431.0,566.0,23.85159011
2018 Q4,710.0,19.0,3.0,732.0,2.595628415,142.0,402.0,544.0,26.10294118
2019 Q1,707.0,30.0,0.0,737.0,4.070556309,141.0,451.0,592.0,23.81756757
2019 Q2,751.0,29.0,0.0,780.0,3.717948718,137.0,425.0,562.0,24.3772242
2019 Q3,818.0,23.0,1.0,842.0,2.731591449,166.0,383.0,549.0,30.23679417
2019 Q4,669.0,31.0,2.0,702.0,4.415954416,161.0,405.0,566.0,28.44522968
2020 Q1,689.0,17.0,1.0,707.0,2.404526167,159.0,369.0,528.0,30.11363636
2020 Q2,630.0,24.0,2.0,656.0,3.658536585,96.0,244.0,340.0,28.23529412
2020 Q3,561.0,25.0,4.0,590.0,4.237288136,139.0,324.0,463.0,30.02159827
2020 Q4,598.0,7.0,0.0,605.0,1.157024793,153.0,317.0,470.0,32.55319149
2021 Q1,540.0,31.0,0.0,571.0,5.429071804,158.0,251.0,409.0,38.63080685
2021 Q2,534.0,15.0,0.0,549.0,2.732240437,142.0,320.0,462.0,30.73593074
2021 Q3,523.0,25.0,0.0,548.0,4.562043796,146.0,329.0,475.0,30.73684211
2021 Q4,474.0,26.0,0.0,500.0,5.2,133.0,254.0,387.0,34.36692506
2022 Q1,463.0,26.0,0.0,489.0,5.316973415,145.0,275.0,420.0,34.52380952
2022 Q2,472.0,31.0,2.0,505.0,6.138613861,131.0,259.0,390.0,33.58974359
2022 Q3,531.0,39.0,0.0,570.0,6.842105263,125.0,223.0,348.0,35.91954023
2022 Q4,519.0,32.0,1.0,552.0,5.797101449,138.0,240.0,378.0,36.50793651
2023 Q1,512.0,26.0,1.0,539.0,4.823747681,125.0,258.0,383.0,32.63707572
