Filing Quarter,Number of violent cases filed per quarter
2017 Q1,37
2017 Q2,38
2017 Q3,48
2017 Q4,40
2018 Q1,38
2018 Q2,36
2018 Q3,43
2018 Q4,28
2019 Q1,32
2019 Q2,29
2019 Q3,50
2019 Q4,49
2020 Q1,31
2020 Q2,33
2020 Q3,43
2020 Q4,36
2021 Q1,40
2021 Q2,39
2021 Q3,35
2021 Q4,40
2022 Q1,51
2022 Q2,41
2022 Q3,53
2022 Q4,42
2023 Q1,36
2023 Q2,56
2023 Q3,44
2023 Q4,33
2024 Q1,35
2024 Q2,40
