Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,979,3062,159
2018,1025,3312,234
2019,1058,3363,136
2020,930,3904,154
2021,936,3741,143
2022,808,2876,256
2023,719,3057,158
