Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2017 Q1,233,472,35
2017 Q2,212,945,47
2017 Q3,259,860,50
2017 Q4,275,785,27
2018 Q1,243,802,37
2018 Q2,282,827,65
2018 Q3,275,888,95
2018 Q4,225,795,37
2019 Q1,215,863,36
2019 Q2,261,764,24
2019 Q3,286,940,35
2019 Q4,296,796,41
2020 Q1,243,750,22
2020 Q2,241,846,33
2020 Q3,252,1076,54
2020 Q4,194,1232,45
2021 Q1,250,951,21
2021 Q2,230,943,44
2021 Q3,244,978,45
2021 Q4,212,869,33
2022 Q1,220,729,34
2022 Q2,192,697,81
2022 Q3,209,755,85
2022 Q4,187,695,56
2023 Q1,197,723,34
2023 Q2,196,661,33
2023 Q3,193,835,55
2023 Q4,133,838,36
2024 Q1,157,907,38
2024 Q2,148,729,36
