Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,256,111,65,1,13,441
2021,666,259,164,4,8,501
2022,374,229,195,2,8,468
2023,278,112,80,1,19,395
2024,309,144,88,4,9,419
2025,374,216,183,10,25,932
