Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,88,41,44,1,6,341
2021,178,96,62,0,6,315
2022,179,81,63,4,1,352
2023,68,18,46,3,7,236
2024,79,38,51,1,6,206
2025,125,33,61,0,3,257
