,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,1089,131,345,118,64,10,3,79
Change since 2024,97.18181818,-243.5643564,62.86472149,46.2962963,86.76470588,180,-10800,71.17117117
