Disposition Quarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdmeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2017 Q1,4,14,18,22.22222222,34,103,137,24.81751825
2017 Q2,2,17,19,10.52631579,28,118,146,19.17808219
2017 Q3,3,9,12,25,34,108,142,23.94366197
2017 Q4,6,9,15,40,48,100,148,32.43243243
2018 Q1,2,15,17,11.76470588,29,113,142,20.42253521
2018 Q2,8,13,21,38.0952381,30,96,126,23.80952381
2018 Q3,1,15,16,6.25,36,157,193,18.65284974
2018 Q4,9,18,27,33.33333333,37,122,159,23.27044025
2019 Q1,4,17,21,19.04761905,32,101,133,24.06015038
2019 Q2,12,15,27,44.44444444,28,121,149,18.79194631
2019 Q3,7,20,27,25.92592593,51,120,171,29.8245614
2019 Q4,16,21,37,43.24324324,22,125,147,14.96598639
2020 Q1,2,18,20,10,30,112,142,21.12676056
2020 Q2,6,15,21,28.57142857,24,71,95,25.26315789
2020 Q3,2,19,21,9.523809524,28,121,149,18.79194631
2020 Q4,2,4,6,33.33333333,26,114,140,18.57142857
2021 Q1,5,12,17,29.41176471,23,116,139,16.54676259
2021 Q2,4,20,24,16.66666667,19,98,117,16.23931624
2021 Q3,5,17,22,22.72727273,24,125,149,16.10738255
2021 Q4,2,14,16,12.5,20,88,108,18.51851852
2022 Q1,6,21,27,22.22222222,24,135,159,15.09433962
2022 Q2,8,21,29,27.5862069,21,90,111,18.91891892
2022 Q3,2,17,19,10.52631579,21,102,123,17.07317073
2022 Q4,5,8,13,38.46153846,14,86,100,14
2023 Q1,3,4,7,42.85714286,19,78,97,19.58762887
2023 Q2,6,12,18,33.33333333,18,78,96,18.75
2024 Q3,5,15,20,25,14,60,74,18.91891892
2024 Q4,4,11,15,26.66666667,22,52,74,29.72972973
2025 Q1,1,10,11,9.090909091,17,62,79,21.51898734
2025 Q2,3,7,10,30,19,86,105,18.0952381
2025 Q3,3,12,15,20,24,76,100,24
2025 Q4,3,4,7,42.85714286,17,76,93,18.27956989
