Disposition Year,Time Served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,0,68,42,3,10,4,123
2021,0,78,24,1,14,0,168
2022,2,85,33,0,11,0,138
2023,0,59,11,1,7,1,102
2024,0,42,22,2,5,0,111
2025,2,51,12,2,10,0,78
