Disposition Year,Fine/Comm. Service,Time Served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,241,27,485,147,98,2
2021,447,52,391,123,114,0
2022,415,59,334,89,108,0
2023,364,45,259,69,66,0
2024,422,55,316,84,58,1
2025,465,57,282,105,55,3
