Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,2,9,11,81.81818182
2017 Q2,3,3,6,50
2017 Q3,0,4,4,100
2017 Q4,4,12,16,75
2018 Q1,0,6,6,100
2018 Q2,1,4,5,80
