Disposition Quarter,Successful,Not Successful,Total Cases
2017 Q1,11,0,11
2017 Q2,6,0,6
2017 Q3,4,0,4
2017 Q4,16,0,16
2018 Q1,6,0,6
2018 Q2,5,0,5
2018 Q3,3,0,3
2018 Q4,7,0,7
2019 Q1,11,0,11
2019 Q2,8,0,8
2019 Q3,9,0,9
2019 Q4,15,0,15
2020 Q1,13,0,13
2020 Q2,9,0,9
2020 Q3,7,0,7
2020 Q4,7,0,7
2021 Q1,7,0,7
