Disposition Quarter,Deferred
2017 Q1,11
2017 Q2,6
2017 Q3,4
2017 Q4,13
2018 Q1,5
2018 Q2,5
2018 Q3,3
2018 Q4,7
2019 Q1,11
2019 Q2,8
2019 Q3,9
2019 Q4,15
2020 Q1,13
2020 Q2,9
2020 Q3,7
2020 Q4,7
2021 Q1,7
2021 Q2,7
2021 Q3,6
2021 Q4,4
2022 Q1,13
2022 Q2,16
2022 Q3,8
2022 Q4,7
2023 Q1,7
2023 Q2,7
2023 Q3,8
2023 Q4,10
2024 Q1,17
2024 Q2,14
2024 Q3,8
2024 Q4,5
2025 Q1,4
