,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus jail,Jail,Com. Corr.,Youth Corr.,Prison
Sentences in 2024,1499,196,3148,930,1212,212,57,889
Change since 2023,-14.24485126,7.182320442,4.355108878,6.904487917,1.35021097,11.82795699,-9.836065574,-14.37066402
