Disposition Quarter,NoPretrialDetention,PretrialDetention,Total Cases,Percent of defendants detained pretrial
2021 Q4,1045.0,457.0,1502.0,30.42609854
2022 Q1,1114.0,435.0,1549.0,28.08263396
2022 Q2,1177.0,453.0,1630.0,27.79141104
2022 Q3,1083.0,467.0,1550.0,30.12903226
2022 Q4,999.0,373.0,1372.0,27.18658892
2023 Q1,1057.0,300.0,1357.0,22.10759027
