Disposition Quarter,Credit for time served,Probation,Probation plus jail,Jail,Community Corrections,Youth Corrections,Prison
2021 Q4,3.0,301.0,61.0,5.0,68.0,14.0,215.0
2022 Q1,2.0,271.0,59.0,2.0,99.0,5.0,207.0
2022 Q2,3.0,298.0,44.0,4.0,94.0,8.0,244.0
2022 Q3,0.0,293.0,47.0,5.0,90.0,9.0,214.0
2022 Q4,1.0,230.0,49.0,4.0,69.0,12.0,192.0
2023 Q1,2.0,207.0,32.0,6.0,32.0,9.0,157.0
