Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2021 Q4,129,299,68,218
2022 Q1,139,274,100,216
2022 Q2,139,299,96,257
2022 Q3,158,302,96,231
2022 Q4,143,240,72,208
2023 Q1,149,298,63,272
2023 Q2,147,280,39,280
2023 Q3,170,299,49,239
2023 Q4,160,254,41,238
2024 Q1,140,258,54,218
2024 Q2,168,314,51,247
2024 Q3,141,287,50,231
2024 Q4,90,213,52,148
2025 Q1,101,197,42,142
2025 Q2,147,304,48,210
2025 Q3,152,253,51,231
2025 Q4,123,196,40,160
