Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,3,28,31,90.32258065
2017 Q2,6,24,30,80
2017 Q3,4,24,28,85.71428571
2017 Q4,6,20,26,76.92307692
2018 Q1,5,26,31,83.87096774
2018 Q2,5,24,29,82.75862069
