Disposition Quarter,Successful,Not Successful,Total Cases
2017 Q1,31,3,34
2017 Q2,30,4,34
2017 Q3,28,11,39
2017 Q4,26,3,29
2018 Q1,31,6,37
2018 Q2,29,7,36
2018 Q3,22,5,27
2018 Q4,20,2,22
2019 Q1,31,4,35
2019 Q2,25,6,31
2019 Q3,23,5,28
2019 Q4,27,4,31
2020 Q1,17,5,22
2020 Q2,20,5,25
2020 Q3,26,3,29
2020 Q4,16,6,22
2021 Q1,26,8,34
