Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,12,78,90,86.66666667
2017 Q2,2,59,61,96.72131148
2017 Q3,9,53,62,85.48387097
2017 Q4,11,68,79,86.07594937
2018 Q1,10,74,84,88.0952381
2018 Q2,10,83,93,89.24731183
