Disposition Quarter,Deferred
2017 Q1,117
2017 Q2,88
2017 Q3,88
2017 Q4,101
2018 Q1,112
2018 Q2,128
2018 Q3,88
2018 Q4,102
2019 Q1,119
2019 Q2,123
2019 Q3,114
2019 Q4,111
2020 Q1,110
2020 Q2,56
2020 Q3,111
2020 Q4,115
2021 Q1,113
2021 Q2,93
2021 Q3,107
2021 Q4,84
2022 Q1,102
2022 Q2,135
2022 Q3,123
2022 Q4,89
2023 Q1,104
2023 Q2,107
2023 Q3,109
2023 Q4,89
2024 Q1,118
2024 Q2,107
2024 Q3,112
2024 Q4,86
2025 Q1,67
2025 Q2,107
2025 Q3,111
2025 Q4,93
