Disposition Quarter,Conviction,No Conviction,Total
2017.0,30.0,6.0,36.0
2018.0,15.0,4.0,19.0
2019.0,16.0,13.0,29.0
2020.0,15.0,4.0,19.0
2021.0,20.0,7.0,27.0
2022.0,19.0,7.0,26.0
