Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,72,21,124,2,7,365
2021,78,35,141,3,19,488
2022,83,17,179,4,4,497
2023,94,17,160,8,15,394
2024,59,26,143,3,7,328
2025,77,29,126,3,8,338
