Disposition Year,Dismissed,Plea Dismissal,Deferred,Acquitted,Found Guilty,Plead Guilty
2020,438,158,269,3,54,2269
2021,746,160,364,15,158,2918
2022,768,179,434,10,92,2890
2023,780,245,380,10,40,3139
2024,738,263,259,10,24,2978
2025,873,260,247,10,25,3089
