Disposition Quarter,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,55.0,54.0,109.0,50.4587156
2017 Q2,66.0,88.0,154.0,42.85714286
2017 Q3,59.0,58.0,117.0,50.42735043
2017 Q4,79.0,41.0,120.0,65.83333333
2018 Q1,73.0,73.0,146.0,50.0
2018 Q2,68.0,54.0,122.0,55.73770492
2018 Q3,74.0,72.0,146.0,50.68493151
2018 Q4,63.0,59.0,122.0,51.63934426
2019 Q1,54.0,65.0,119.0,45.37815126
2019 Q2,99.0,88.0,187.0,52.94117647
2019 Q3,69.0,46.0,115.0,60.0
2019 Q4,62.0,77.0,139.0,44.60431655
2020 Q1,47.0,59.0,106.0,44.33962264
2020 Q2,37.0,51.0,88.0,42.04545455
2020 Q3,41.0,48.0,89.0,46.06741573
2020 Q4,40.0,49.0,89.0,44.94382022
2021 Q1,52.0,57.0,109.0,47.70642202
2021 Q2,69.0,77.0,146.0,47.26027397
2021 Q3,49.0,60.0,109.0,44.95412844
2021 Q4,65.0,69.0,134.0,48.50746269
2022 Q1,64.0,67.0,131.0,48.85496183
2022 Q2,52.0,70.0,122.0,42.62295082
2022 Q3,45.0,54.0,99.0,45.45454545
2022 Q4,60.0,59.0,119.0,50.42016807
2023 Q1,67.0,54.0,121.0,55.37190083
