Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Missing/Unknown
2017,108,469,562,773,12
2018,102,450,681,816,6
2019,117,397,663,748,8
2020,88,360,597,735,12
2021,79,373,612,864,11
2022,51,317,542,758,2
2023,86,315,520,766,2
2024,73,273,507,767,3
2025,61,266,533,813,4
