Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,4,9,9,22
2017 Q2,4,2,9,15
2017 Q3,4,10,8,22
2017 Q4,5,10,4,19
2018 Q1,3,4,8,15
2018 Q2,6,4,3,13
2018 Q3,5,2,5,12
2018 Q4,3,6,3,12
2019 Q1,5,3,11,19
2019 Q2,12,9,14,35
2019 Q3,8,11,5,24
2019 Q4,5,2,10,17
2020 Q1,4,1,6,11
2020 Q2,4,6,5,15
2020 Q3,3,6,10,19
2020 Q4,6,5,10,21
2021 Q1,12,4,8,24
2021 Q2,8,3,5,16
2021 Q3,4,3,2,9
2021 Q4,4,4,7,15
2022 Q1,7,7,3,17
2022 Q2,10,5,1,16
2022 Q3,7,4,11,22
2022 Q4,3,5,5,13
2023 Q1,3,2,8,13
2023 Q2,6,4,4,14
2023 Q3,8,1,3,12
2023 Q4,9,3,13,25
2024 Q1,4,7,4,15
2024 Q2,5,7,4,16
2024 Q3,4,8,11,23
2024 Q4,11,5,6,22
