Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,35
2017 Q2,34
2017 Q3,36
2017 Q4,23
2018 Q1,45
2018 Q2,36
2018 Q3,46
2018 Q4,42
2019 Q1,42
2019 Q2,31
2019 Q3,43
2019 Q4,30
2020 Q1,41
2020 Q2,40
2020 Q3,43
2020 Q4,22
2021 Q1,22
2021 Q2,30
2021 Q3,24
2021 Q4,31
2022 Q1,33
2022 Q2,28
2022 Q3,32
2022 Q4,36
2023 Q1,26
2023 Q2,31
2023 Q3,27
2023 Q4,32
2024 Q1,39
2024 Q2,35
2024 Q3,41
2024 Q4,50
2025 Q1,31
