Filing Quarter,Number of violent cases filed involving a child victim
2017 Q1,26.0
2017 Q2,24.0
2017 Q3,27.0
2017 Q4,13.0
2018 Q1,34.0
2018 Q2,20.0
2018 Q3,27.0
2018 Q4,28.0
2019 Q1,24.0
2019 Q2,21.0
2019 Q3,25.0
2019 Q4,23.0
2020 Q1,25.0
2020 Q2,27.0
2020 Q3,28.0
2020 Q4,15.0
2021 Q1,12.0
2021 Q2,20.0
2021 Q3,16.0
2021 Q4,20.0
2022 Q1,20.0
2022 Q2,17.0
2022 Q3,23.0
2022 Q4,20.0
2023 Q1,18.0
