Disposition Quarter,Deferred
2017 Q1,26
2017 Q2,29
2017 Q3,25
2017 Q4,37
2018 Q1,28
2018 Q2,29
2018 Q3,31
2018 Q4,39
2019 Q1,37
2019 Q2,21
2019 Q3,22
2019 Q4,27
2020 Q1,19
2020 Q2,12
2020 Q3,20
2020 Q4,28
2021 Q1,17
2021 Q2,26
2021 Q3,24
2021 Q4,29
2022 Q1,34
2022 Q2,16
2022 Q3,21
2022 Q4,25
2023 Q1,16
2023 Q2,21
2023 Q3,25
2023 Q4,31
2024 Q1,23
2024 Q2,31
2024 Q3,42
2024 Q4,22
2025 Q1,13
2025 Q2,37
2025 Q3,28
2025 Q4,17
