Disposition Quarter,Successful ,Not Successful,Total Cases
2017 Q1,18.0,8.0,26.0
2017 Q2,19.0,10.0,29.0
2017 Q3,12.0,13.0,25.0
2017 Q4,22.0,12.0,34.0
2018 Q1,19.0,8.0,27.0
2018 Q2,20.0,10.0,30.0
2018 Q3,22.0,9.0,31.0
2018 Q4,27.0,12.0,39.0
2019 Q1,26.0,11.0,37.0
2019 Q2,14.0,7.0,21.0
2019 Q3,15.0,7.0,22.0
2019 Q4,16.0,11.0,27.0
2020 Q1,13.0,6.0,19.0
2020 Q2,7.0,6.0,13.0
