Disposition Quarter,No new criminal case within 2 years,New criminal case within 2 years,Total,Percent with new criminal case within 2 years
2017 Q1,18,0,18,0
2017 Q2,18,1,19,5.263157895
2017 Q3,12,0,12,0
2017 Q4,20,2,22,9.090909091
2018 Q1,17,2,19,10.52631579
2018 Q2,18,2,20,10
